Run, Cost
1330, 1281.0502136070638
1340, 1222.4701215463253
1350, 1228.6260419809626
1360, 1198.7772224943128
1370, 1185.0030803070013
1380, 1136.714039287747
1390, 1141.3078576916384
1400, 1105.3454470373317
1410, 1091.7938070653045
1420, 1043.5857126181822
1430, 1037.5355299089783
1440, 1031.7444711742573
1450, 1034.6984157989048
1460, 992.7338807107496
1470, 992.7338807107496
1480, 990.2624707827722
1490, 976.9384187091357
1500, 951.5522856139363
1510, 951.5522856139363
1520, 949.5061601033085
1530, 949.8704466631634
1540, 949.8704466631634
1550, 927.8963503717812
1560, 927.8963503717812
1570, 927.8963503717812
1580, 917.2218127228413
1590, 917.2218127228413
1600, 917.2218127228413
1610, 916.5663317970038
1620, 916.5663317970038
1630, 916.5663317970038
1640, 916.5663317970038
1650, 869.8428306638774
1660, 869.8428306638774
1670, 846.9805391062434
1680, 846.9805391062434
1690, 846.9805391062434
1700, 838.9735178391106
1710, 838.9735178391106
1720, 838.9735178391106
1730, 838.9735178391106
1740, 838.9735178391106
1750, 838.9735178391106
1760, 838.9735178391106
1770, 838.9735178391106
1780, 838.9735178391106
1790, 838.9735178391106
1800, 838.9735178391106
1810, 837.2424314656968
1820, 837.2424314656968
1830, 837.2424314656968
1840, 837.2424314656968
1850, 836.3730444891795
1860, 836.3730444891795
1870, 836.3730444891795
1880, 829.7308363799361
1890, 829.7308363799361
1900, 829.7308363799361
1910, 829.7308363799361
1920, 806.9679960934195
1930, 804.1473837381712
1940, 804.1473837381712
1950, 804.1473837381712
1960, 804.1473837381712
1970, 798.8432202572519
1980, 798.8432202572519
1990, 784.5285655751991
2000, 784.5285655751991
2010, 784.5285655751991
2020, 784.5285655751991
2030, 784.5285655751991
2040, 784.5285655751991
2050, 763.8743047296566
2060, 763.8743047296566
2070, 744.50609500487
2080, 744.50609500487
2090, 729.5302296303722
2100, 729.5302296303722
2110, 729.5302296303722
2120, 728.7220155580064
2130, 728.7220155580064
2140, 688.1120446669669
2150, 688.1120446669669
2160, 688.1120446669669
2170, 688.1120446669669
2180, 665.9975968494831
2190, 657.6488789713874
2200, 657.6488789713874
2210, 657.6488789713874
2220, 657.6488789713874
2230, 657.6488789713874
2240, 657.6488789713874
2250, 657.6488789713874
2260, 657.6488789713874
2270, 657.6488789713874
2280, 657.6488789713874
2290, 657.6488789713874
2300, 657.6488789713874
2310, 657.6488789713874
2320, 652.9783587094753
2330, 652.9783587094753
2340, 652.9783587094753
2350, 652.9783587094753
2360, 652.9783587094753
2370, 652.9783587094753
2380, 640.1711983217758
2390, 640.1711983217758
2400, 640.1711983217758
2410, 640.1711983217758
2420, 640.1711983217758
2430, 640.1711983217758
2440, 640.1711983217758
2450, 640.1711983217758
2460, 640.1711983217758
2470, 640.1711983217758
2480, 640.1711983217758
2490, 640.1711983217758
2500, 640.1711983217758
2510, 640.1711983217758
2520, 640.1711983217758
2530, 640.1711983217758
2540, 640.1711983217758
2550, 640.1711983217758
2560, 640.1711983217758
2570, 640.1711983217758
2580, 640.1711983217758
2590, 640.1711983217758
2600, 640.1711983217758
2610, 640.1711983217758
2620, 640.1711983217758
2630, 640.1711983217758
2640, 640.1711983217758
2650, 640.1711983217758
2660, 640.1464801954755
2670, 640.1464801954755
2680, 640.1464801954755
2690, 640.1280920599402
2700, 640.1280920599402
2710, 640.1280920599402
2720, 640.1280920599402
2730, 640.1280920599402
2740, 640.1280920599402
2750, 640.1280920599402
2760, 640.1280920599402
2770, 639.045329529642
2780, 639.045329529642
2790, 639.045329529642
2800, 634.8976657498022
2810, 634.8976657498022
2820, 633.278758415828
2830, 633.278758415828
2840, 633.278758415828
2850, 633.278758415828
2860, 633.278758415828
2870, 633.278758415828
2880, 633.278758415828
2890, 633.278758415828
2900, 633.278758415828
2910, 633.278758415828
2920, 631.278758415828
2930, 631.278758415828
2940, 631.278758415828
2950, 631.278758415828
2960, 631.278758415828
2970, 626.9471131995178
2980, 626.9471131995178
2990, 626.9471131995178
3000, 626.9471131995178
3010, 626.9471131995178
3020, 626.9471131995178
3030, 626.9471131995178
3040, 626.9471131995178
3050, 626.9471131995178
3060, 626.9471131995178
3070, 626.9471131995178
3080, 626.9471131995178
3090, 626.9471131995178
3100, 626.9471131995178
3110, 626.9471131995178
3120, 626.9471131995178
3130, 626.9471131995178
3140, 626.9471131995178
3150, 626.9471131995178
3160, 626.6585201904168
3170, 626.6585201904168
3180, 626.6585201904168
3190, 626.6585201904168
